"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","is_bitter"
"Ambrosia","Venezuela",1498,2015,70,"Canada",3.25,"Venezuela",FALSE
"Ambrosia","Peru",1498,2015,68,"Canada",3.5,"Peru",FALSE
"Amedei","Piura, Blanco de Criollo",979,2012,70,"Italy",3.75,"Peru",FALSE
"Amedei","Porcelana",111,2007,70,"Italy",4,"Venezuela",FALSE
"Amedei","Nine",111,2007,75,"Italy",4," ",TRUE
"Amedei","Chuao",111,2007,70,"Italy",5,"Venezuela",FALSE
"Amedei","Ecuador",123,2007,70,"Italy",3,"Ecuador",FALSE
"Amedei","Jamaica",123,2007,70,"Italy",3,"Jamaica",FALSE
"Amedei","Grenada",123,2007,70,"Italy",3.5,"Grenada",FALSE
"Amedei","Venezuela",123,2007,70,"Italy",3.75,"Venezuela",FALSE
"Amedei","Madagascar",123,2007,70,"Italy",4,"Madagascar",FALSE
"Amedei","Trinidad",129,2007,70,"Italy",3.5,"Trinidad",FALSE
"Amedei","Toscano Black",170,2007,63,"Italy",3.5," ",FALSE
"Amedei","Toscano Black",40,2006,70,"Italy",5," ",FALSE
"Amedei","Toscano Black",75,2006,66,"Italy",4," ",FALSE
"AMMA","Catongo",1065,2013,75,"Brazil",3.25,"Brazil",TRUE
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,85,"Brazil",2.75,"Brazil",TRUE
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,50,"Brazil",3.75,"Brazil",FALSE
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,75,"Brazil",3.75,"Brazil",TRUE
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,60,"Brazil",4,"Brazil",FALSE
"Anahata","Elvesia",1259,2014,75,"U.S.A.",3,"Dominican Republic",TRUE
"Animas","Alto Beni",1852,2016,75,"U.S.A.",3.5,"Bolivia",TRUE
"Ara","Madagascar",1375,2014,75,"France",3,"Madagascar",TRUE
"Ara","Chiapas",1379,2014,72,"France",2.5,"Mexico",TRUE
"Ara","Equateur",1379,2014,75,"France",2.75,"Ecuador",TRUE
"Ara","Trincheras",1379,2014,75,"France",3,"Venezuela",TRUE
"Arete","San Juan",1724,2016,70,"U.S.A.",3.5,"Trinidad",FALSE
"Arete","Kokoa Kamili",1724,2016,70,"U.S.A.",3.75,"Tanzania",FALSE
"Arete","Tien Giang",1900,2016,73,"U.S.A.",3.5,"Vietnam",TRUE
"Arete","Hacienda Victoria",1904,2016,70,"U.S.A.",3.25,"Ecuador",FALSE
"Arete","Costa Esmeraldas",1904,2016,70,"U.S.A.",3.25,"Ecuador",FALSE
"Arete","Lachua",1904,2016,70,"U.S.A.",3.5,"Guatemala",FALSE
"Arete","Rugoso",1904,2016,70,"U.S.A.",3.75,"Nicaragua",FALSE
"Arete","La Masica, FHIA",1908,2016,70,"U.S.A.",3.5,"Honduras",FALSE
"Arete","Coto Brus, Terciopelo",1908,2016,70,"U.S.A.",4,"Costa Rica",FALSE
"Arete","Phantom",1924,2016,70,"U.S.A.",4,"Peru",FALSE
"Arete","Elvesia",1928,2016,70,"U.S.A.",3.75,"Dominican Republic",FALSE
"Arete","Matasawalevu",1928,2016,70,"U.S.A.",3.25,"Fiji",FALSE
"Arete","Lam Dong",1928,2016,73,"U.S.A.",3.25,"Vietnam",TRUE
"Arete","Fazenda Camboa",1534,2015,70,"U.S.A.",3.5,"Brazil",FALSE
"Arete","Nacional",1534,2015,68,"U.S.A.",3.5,"Peru",FALSE
"Arete","Puerto Quito, heirloom",1534,2015,70,"U.S.A.",3.75,"Ecuador",FALSE
"Arete","Oko Caribe",1598,2015,70,"U.S.A.",3.5,"Domincan Republic",FALSE
"Arete","Maya Mountain",1598,2015,70,"U.S.A.",3.75,"Belize",FALSE
"Arete","Chuno",1598,2015,70,"U.S.A.",4,"Nicaragua",FALSE
"Arete","Fazenda Camboa",1602,2015,75,"U.S.A.",2.75,"Brazil",TRUE
"Arete","Guatemala",1602,2015,70,"U.S.A.",3.25,"Guatemala",FALSE
"Arete","Camino Verde",1602,2015,75,"U.S.A.",3.5,"Ecuador",TRUE
"Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,72,"U.K.",3.25,"Trinidad",TRUE
"Artisan du Chocolat","Colombia, Casa Luker",947,2012,72,"U.K.",3.75,"Colombia",TRUE
"Artisan du Chocolat","Haiti",729,2011,72,"U.K.",4,"Haiti",TRUE
"Artisan du Chocolat","Panama",745,2011,72,"U.K.",2.75,"Panama",TRUE
"Artisan du Chocolat","Venezuela",486,2010,100,"U.K.",1.75,"Venezuela",TRUE
"Artisan du Chocolat","Jamaica",531,2010,72,"U.K.",3.75,"Jamaica",TRUE
"Artisan du Chocolat","Costa Rica",600,2010,72,"U.K.",3.25,"Costa Rica",TRUE
"Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,72,"U.K.",3.25,"Vietnam",TRUE
"Artisan du Chocolat","Bali",600,2010,72,"U.K.",3.5,"Indonesia",TRUE
"Artisan du Chocolat","Ocumare, Venezuela",355,2009,75,"U.K.",2.5,"Venezuela",TRUE
"Artisan du Chocolat","Java",355,2009,72,"U.K.",2.75,"Indonesia",TRUE
"Artisan du Chocolat","Brazil Rio Doce",363,2009,72,"U.K.",1.75,"Brazil",TRUE
"Artisan du Chocolat","Madagascar",363,2009,80,"U.K.",3,"Madagascar",TRUE
"Artisan du Chocolat","Peru",363,2009,75,"U.K.",3,"Peru",TRUE
"Artisan du Chocolat","Dominican Republic",363,2009,72,"U.K.",3.25,"Dominican Republic",TRUE
"Artisan du Chocolat","Congo",300,2008,72,"U.K.",3.75,"Congo",TRUE
"Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,72,"U.K.",2.75,"Colombia",TRUE
"Askinosie","Mababa",1780,2016,68,"U.S.A.",3.75,"Tanzania",FALSE
"Askinosie","Tenende, Uwate",647,2011,72,"U.S.A.",3.75,"Tanzania",TRUE
"Askinosie","Cortes",661,2011,70,"U.S.A.",3.75,"Honduras",FALSE
"Askinosie","Davao",331,2009,77,"U.S.A.",3.75,"Philippines",TRUE
"Askinosie","Xoconusco",141,2007,75,"U.S.A.",2.5,"Mexico",TRUE
"Askinosie","San Jose del Tambo",175,2007,70,"U.S.A.",3,"Ecuador",FALSE
"Bahen & Co.","Houseblend",1474,2015,80,"Australia",3.25," ",TRUE
"Bahen & Co.","Papua New Guinea",1474,2015,70,"Australia",3.5,"Papua New Guinea",FALSE
"Bahen & Co.","Sambirano",995,2012,70,"Australia",3,"Madagascar",FALSE
"Bahen & Co.","Bahia",999,2012,70,"Australia",2.5,"Brazil",FALSE
"Bahen & Co.","Houseblend",999,2012,70,"Australia",2.5," ",FALSE
"Bakau","Bambamarca, 2015",1454,2015,70,"Peru",2.75,"Peru",FALSE
"Bakau","Huallabamba, 2015",1454,2015,70,"Peru",3.5,"Peru",FALSE
"Bar Au Chocolat","Bahia",1554,2015,70,"U.S.A.",3.5,"Brazil",FALSE
"Bar Au Chocolat","Maranon Canyon",1295,2014,70,"U.S.A.",4,"Peru",FALSE
"Bar Au Chocolat","Duarte Province",983,2012,70,"U.S.A.",3.25,"Dominican Republic",FALSE
"Bar Au Chocolat","Chiapas",983,2012,70,"U.S.A.",3.5,"Mexico",FALSE
"Bar Au Chocolat","Sambirano",983,2012,70,"U.S.A.",3.75,"Madagascar",FALSE
"Baravelli's","single estate",955,2012,80,"Wales",2.75,"Costa Rica",TRUE
"Batch","Dominican Republic, Batch 3",1840,2016,65,"U.S.A.",3.5,"Domincan Republic",FALSE
"Batch","Brazil",1868,2016,70,"U.S.A.",3.75,"Brazil",FALSE
"Batch","Ecuador",1880,2016,65,"U.S.A.",3.25,"Ecuador",FALSE
"Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,"U.K.",3,"Malaysia",TRUE
"Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,72,"U.K.",3.25,"Malaysia",TRUE
"Beehive","Brazil, Batch 20316",1784,2016,80,"U.S.A.",2.75,"Brazil",TRUE
"Beehive","Dominican Republic, Batch 31616",1784,2016,70,"U.S.A.",2.75,"Domincan Republic",FALSE
"Beehive","Ecuador, Batch 31516",1784,2016,70,"U.S.A.",2.75,"Ecuador",FALSE
"Beehive","Ecuador",1788,2016,90,"U.S.A.",2.75,"Ecuador",TRUE
"Belcolade","Costa Rica",586,2010,64,"Belgium",2.75,"Costa Rica",FALSE
"Belcolade","Papua New Guinea",586,2010,64,"Belgium",2.75,"Papua New Guinea",FALSE
"Belcolade","Peru",586,2010,64,"Belgium",2.75,"Peru",FALSE
"Belcolade","Ecuador",586,2010,71,"Belgium",3.5,"Ecuador",TRUE
"Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,70,"U.S.A.",3.5,"Tanzania",FALSE
"Bellflower","Alto Beni, Palos Blanco",1804,2016,70,"U.S.A.",3.25,"Bolivia",FALSE
"Bellflower","Oko Caribe, Duarte P.",1864,2016,70,"U.S.A.",3.5,"Domincan Republic",FALSE
"Belyzium","Belize south, low fermentation",1768,2016,83,"Germany",2.75,"Belize",TRUE
"Belyzium","Belize south",1768,2016,78,"Germany",3,"Belize",TRUE
"Belyzium","Belize south",1768,2016,83,"Germany",3.5,"Belize",TRUE
"Benoit Nihant","Baracoa",1141,2013,74,"Belgium",3.5,"Cuba",TRUE
"Benoit Nihant","Chuao",1141,2013,74,"Belgium",3.5,"Venezuela",TRUE
"Benoit Nihant","Cuyagua Village",1141,2013,74,"Belgium",3.5,"Venezuela",TRUE
"Benoit Nihant","Rio Peripa H.",1141,2013,73,"Belgium",4,"Ecuador",TRUE
"Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,"Belgium",4,"Indonesia",TRUE
"Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,72,"Belgium",3.75,"Madagascar",TRUE
"Bernachon","Nature",797,2012,55,"France",2.75," ",FALSE
"Beschle (Felchlin)","Madagascar",636,2011,64,"Switzerland",3,"Madagascar",FALSE
"Beschle (Felchlin)","Maracaibo",636,2011,88,"Switzerland",3,"Venezuela",TRUE
"Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,72,"Switzerland",3.5,"Venezuela",TRUE
"Beschle (Felchlin)","Ecuador",636,2011,72,"Switzerland",4,"Ecuador",TRUE
"Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,70,"Switzerland",3.25,"Venezuela",FALSE
"Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,74,"Switzerland",3.25,"Venezuela",TRUE
"Beschle (Felchlin)","Java, Grand Cru",508,2010,64,"Switzerland",3.5,"Indonesia",FALSE
"Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,72,"Switzerland",3.5,"Venezuela",TRUE
"Bisou","Nicaragua, American style",1482,2015,76,"U.S.A.",2.5,"Nicaragua",TRUE
"Bisou","San Andres, American style",1486,2015,76,"U.S.A.",2.5,"Costa Rica",TRUE
"Bisou","San Andres, silk",1486,2015,78,"U.S.A.",2.5,"Costa Rica",TRUE
"Bisou","Belize",1486,2015,86,"U.S.A.",3.25,"Belize",TRUE
"Bittersweet Origins","Ghana",963,2012,72,"U.S.A.",3.5,"Ghana",TRUE
"Bittersweet Origins","Bali, Singaraja",478,2010,75,"U.S.A.",3.25,"Indonesia",TRUE
"Bittersweet Origins","2009 Hapa Nibby",502,2010,70,"U.S.A.",3.75,"Dominican Rep., Bali",FALSE
"Bittersweet Origins","Bali, Singaraja",558,2010,65,"U.S.A.",2.75,"Indonesia",FALSE
"Bittersweet Origins","Sambirano, 2009",565,2010,70,"U.S.A.",3,"Madagascar",FALSE
"Bittersweet Origins","Ocumare, prototype",565,2010,78,"U.S.A.",3,"Venezuela",TRUE
"Bittersweet Origins","Puerto Plata",414,2009,75,"U.S.A.",3,"Dominican Republic",TRUE
"Bittersweet Origins","Puerto Plata",414,2009,65,"U.S.A.",3.5,"Dominican Republic",FALSE
"Bittersweet Origins","Sambirano",423,2009,75,"U.S.A.",3.25,"Madagascar",TRUE
"Bittersweet Origins","Sambirano",431,2009,65,"U.S.A.",3.5,"Madagascar",FALSE
"Bittersweet Origins","Sambirano",233,2008,71,"U.S.A.",3,"Madagascar",TRUE
"Bittersweet Origins","Bocas del Toro",233,2008,75,"U.S.A.",3.5,"Panama",TRUE
"Bittersweet Origins","Puerto Plata",233,2008,68,"U.S.A.",3.75,"Dominican Republic",FALSE
"Bittersweet Origins","Ankasa",256,2008,70,"U.S.A.",3,"Ghana",FALSE
"Black Mountain","La Red",256,2008,70,"U.S.A.",2.75,"Dominican Republic",FALSE
"Black Mountain","Carenero Superior",256,2008,70,"U.S.A.",2.75,"Venezuela",FALSE
"Black Mountain","Matiguas",256,2008,70,"U.S.A.",3,"Nicaragua",FALSE
"Black River (A. Morin)","Blue Mountain Region",1331,2014,70,"U.K.",2.75,"Jamaica",FALSE
"Blanxart","Congo, Grand Cru",1046,2013,82,"Spain",3.5,"Congo",TRUE
"Blanxart","Organic Dark",322,2009,72,"Spain",2.75," ",TRUE
"Blue Bandana","Akesson's E., Sambirano V.",1740,2016,82,"U.S.A.",3.5,"Madagascar",TRUE
"Blue Bandana","Lachua",1752,2016,75,"U.S.A.",2.75,"Guatemala",TRUE
"Blue Bandana","Kokoa Kamili",1752,2016,75,"U.S.A.",3.5,"Tanzania",TRUE
"Blue Bandana","Zorzal Reserva",1756,2016,75,"U.S.A.",3,"Dominican Republic",TRUE
"Blue Bandana","Guatemala",911,2012,70,"U.S.A.",3.5,"Guatemala",FALSE
"Blue Bandana","Madagascar",911,2012,70,"U.S.A.",3.75,"Madagascar",FALSE
"Bonnat","Selva Maya",1912,2016,75,"France",3.5,"Mexico",TRUE
"Bonnat","Kaori",1339,2014,75,"France",4,"Brazil",TRUE
"Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,75,"France",3.25,"Dominican Republic",TRUE
"Bonnat","Surfin",1418,2014,65,"France",3.75,"Venez,Africa,Brasil,Peru,Mex",FALSE
"Bonnat","Maragnam",1038,2013,75,"France",3.5,"Brazil",TRUE
"Bonnat","Gabon",1042,2013,75,"France",3.25,"Gabon",TRUE
"Bonnat","Cuba",629,2011,75,"France",3.5,"Cuba",TRUE
"Bonnat","Cusco, Cacao Cusco",629,2011,75,"France",3.5,"Peru",TRUE
"Bonnat","Piura Blanco",629,2011,75,"France",3.5,"Peru",TRUE
"Bonnat","Libanio",629,2011,75,"France",3.75,"Brazil",TRUE
"Bonnat","Haiti",629,2011,75,"France",4,"Haiti",TRUE
"Bonnat","Madagascar, 100% criollo",629,2011,75,"France",4,"Madagascar",TRUE
"Bonnat","Juliana",672,2011,75,"France",3.5,"Brazil",TRUE
"Bonnat","Jamaique",761,2011,75,"France",3.25,"Jamaica",TRUE
"Bonnat","Ivory Coast",331,2009,75,"France",3,"Ivory Coast",TRUE
"Bonnat","Porcelana, Apotequil",336,2009,75,"France",2.75,"Peru",TRUE
"Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,75,"France",3,"Mexico",TRUE
"Bonnat","Xoconusco, cacao Real",395,2009,75,"France",3,"Mexico",TRUE
"Bonnat","Porcelana, Venezuela",199,2008,75,"France",4,"Venezuela",TRUE
"Bonnat","Equateur",123,2007,75,"France",2.5,"Ecuador",TRUE
"Bonnat","Trinite",24,2006,75,"France",3.75,"Carribean",TRUE
"Bonnat","Ocumare, Puerto Cabello",32,2006,75,"France",4,"Venezuela",TRUE
"Bonnat","Maracaibo, El Rosario",48,2006,75,"France",4,"Venezuela",TRUE
"Bonnat","Madagascar",75,2006,75,"France",4,"Madagascar",TRUE
"Bonnat","One Hundred",81,2006,100,"France",1.5," ",TRUE
"Bonnat","Ceylan",81,2006,75,"France",3,"Sri Lanka",TRUE
"Bonnat","Chuao",81,2006,75,"France",4,"Venezuela",TRUE
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,77,"Ecuador",3.25,"Ecuador",TRUE
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,100,"Ecuador",1.5,"Ecuador",TRUE
"Bowler Man","Maya Mountain",1267,2014,70,"U.S.A.",2.75,"Belize",FALSE
"Bowler Man","Conacado",1271,2014,70,"U.S.A.",2.75,"Dominican Republic",FALSE
"Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,70,"U.S.A.",3.5,"Venezuela",FALSE
"Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,70,"U.S.A.",3.75,"Nicaragua",FALSE
"Brasstown aka It's Chocolate","Conacado",1462,2015,68,"U.S.A.",3.75,"Dominican Republic",FALSE
"Brasstown aka It's Chocolate","Maya Mountain",1255,2014,70,"U.S.A.",3.75,"Belize",FALSE
"Brasstown aka It's Chocolate","Chuao",1355,2014,70,"U.S.A.",4,"Venezuela",FALSE
"Brasstown aka It's Chocolate","Cooproagro",1125,2013,72,"U.S.A.",3,"Dominican Republic",TRUE
"Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,70,"U.S.A.",3.25,"Ecuador",FALSE
"Brasstown aka It's Chocolate","Ghana",1129,2013,75,"U.S.A.",3.5,"Ghana",TRUE
"Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,85,"U.S.A.",3.5,"Venezuela",TRUE
"Brazen","Elvesia P.",1514,2015,60,"U.S.A.",3,"Dominican Republic",FALSE
"Brazen","Elvesia P.",1514,2015,80,"U.S.A.",3.25,"Dominican Republic",TRUE
"Brazen","Alta Verapaz, 2014",1514,2015,70,"U.S.A.",3.5,"Guatemala",FALSE
"Brazen","Ambolikapiky P.",1518,2015,80,"U.S.A.",2.75,"Madagascar",TRUE
"Brazen","Maya Mountain",1518,2015,80,"U.S.A.",3.25,"Belize",TRUE
"Brazen","Ambolikapkly P.",1518,2015,60,"U.S.A.",3.25,"Madagascar",FALSE
"Breeze Mill","Jamaica",1149,2013,70,"U.S.A.",3,"Jamaica",FALSE
"Bright","Somia Plantation",1231,2014,72,"Australia",3,"Madagascar",TRUE
"Bright","Marabel Farms",1231,2014,70,"Australia",3.5,"Dominican Republic",FALSE
"Bright","Camino Verde, Balao, Guayas",1231,2014,72,"Australia",3.5,"Ecuador",TRUE
"Bright","Gran Couva",1235,2014,68,"Australia",2.75,"Trinidad",FALSE
"Britarev","Ecuador",1638,2015,70,"Russia",3.25,"Ecuador",FALSE
"Bronx Grrl Chocolate","Dominican Republic",1181,2013,68,"U.S.A.",2.75,"Dominican Republic",FALSE
"Burnt Fork Bend","Trinidad",1299,2014,72,"U.S.A.",3.25,"Trinidad",TRUE
"Burnt Fork Bend","Mindo",1299,2014,72,"U.S.A.",3.5,"Ecuador",TRUE
"Burnt Fork Bend","Belize",1303,2014,72,"U.S.A.",3.25,"Belize",TRUE
"Burnt Fork Bend","Blend",1303,2014,72,"U.S.A.",3.25," ",TRUE
"Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,60,"U.S.A.",2.5,"Ecuador",FALSE
"Cacao Arabuco","Puerto Rico",1606,2015,70,"Puerto Rico",2.5,"Puerto Rico",FALSE
"Cacao Atlanta","Tumbes",1215,2014,75,"U.S.A.",2.5,"Peru",TRUE
"Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,75,"U.S.A.",2.5,"Dominican Republic",TRUE
"Cacao Atlanta","Dominican Republic w/ nibs",502,2010,75,"U.S.A.",2.75,"Dominican Republic",TRUE
"Cacao Atlanta","Patanemo",600,2010,75,"U.S.A.",2.25,"Venezuela",TRUE
"Cacao Barry","Grand 'Anse",1716,2016,65,"France",3.5,"Haiti",FALSE
"Cacao Barry","Santo Domingo",586,2010,70,"France",3,"Dominican Republic",FALSE
"Cacao Barry","Tanzania",300,2008,75,"France",2,"Tanzania",TRUE
"Cacao Barry","Venezuela",141,2007,72,"France",2,"Venezuela",TRUE
"Cacao Barry","Mexico",147,2007,66,"France",3,"Mexico",FALSE
"Cacao de Origen","Chuao",1688,2015,77,"Venezuela",3.5,"Venezuela",TRUE
"Cacao de Origen","Rio Caribe",1692,2015,75,"Venezuela",3.25,"Venezuela",TRUE
"Cacao de Origen","Agua Fria; Sucre region",1391,2014,75,"Venezuela",2.5,"Venezuela",TRUE
"Cacao de Origen","Macuare; Miranda; Chloe formula",1391,2014,74,"Venezuela",3.25,"Venezuela",TRUE
"Cacao de Origen","Chuao, Aragua region",1391,2014,75,"Venezuela",3.5,"Venezuela",TRUE
"Cacao de Origen","Chuao, Aragua region",1395,2014,70,"Venezuela",3.75,"Venezuela",FALSE
"Cacao de Origin","Hacienda la Trinidad",1668,2015,74,"Venezuela",3.25,"Venezuela",TRUE
"Cacao Hunters","Macondo",1816,2016,71,"Colombia",3.75,"Colombia",TRUE
"Cacao Hunters","Perla Negra",1816,2016,74,"Colombia",3.75,"Colombia",TRUE
"Cacao Hunters","Arhuacos",1662,2015,72,"Colombia",3.75,"Colombia",TRUE
"Cacao Hunters","Sierra Nevada",1430,2014,64,"Colombia",3.5,"Colombia",FALSE
